image,subject_id,fix_x,fix_y,durations
1001.jpg,[[5]],"[array([[336.875, 180.625, 342.5  ]])]","[array([[238.4765625, 373.2421875, 189.84375  ]])]","[array([[ 850,  891, 1166]], dtype=uint16)]"
1002.jpg,[[5]],"[array([[224.375, 655.   , 620.   , 588.75 ]])]","[array([[300.5859375,  47.4609375, 269.53125  , 243.1640625]])]","[array([[ 433,   58,  133, 3123]], dtype=uint16)]"
1005.jpg,[[5]],"[array([[299.375, 203.125, 438.125]])]","[array([[362.6953125, 382.03125  , 370.3125   ]])]","[array([[ 733,  874, 1807]], dtype=uint16)]"
1006.jpg,[[5]],"[array([[289.375, 278.75 , 270.   , 643.75 , 210.   , 250.625]])]","[array([[386.1328125, 329.8828125, 266.6015625, 221.484375 , 292.96875  ,
         283.59375  ]])                                                  ]","[array([[242, 250, 550, 525, 233, 341]], dtype=uint16)]"
1007.jpg,[[5]],"[array([[219.375, 203.75 , 254.375, 280.625, 260.625, 201.875, 591.875,
         330.   , 245.625, 200.625, 278.125]])                         ]","[array([[445.3125   , 468.1640625, 375.5859375, 502.734375 , 515.625    ,
         458.203125 , 380.2734375, 345.703125 , 331.0546875, 476.953125 ,
         489.84375  ]])                                                  ]","[array([[233, 308, 217, 183, 233, 200, 341, 341, 158, 233, 291]],
       dtype=uint16)                                             ]"
1009.jpg,[[5]],"[array([[497.5  , 528.125, 552.5  , 573.75 , 573.125, 540.625, 521.875,
         358.125]])                                                    ]","[array([[250.78125  , 245.5078125, 238.4765625, 204.4921875, 178.125    ,
         230.859375 , 243.1640625, 388.4765625]])                        ]","[array([[225, 283, 291, 341, 283, 441, 391, 733]], dtype=uint16)]"
1010.jpg,[[5]],"[array([[413.75 , 145.625, 428.125, 698.125, 698.125, 408.75 , 113.125]])]","[array([[383.7890625, 423.6328125, 423.046875 , 425.390625 , 377.9296875,
         398.4375   , 274.8046875]])                                     ]","[array([[225, 699, 308, 366, 366, 566, 358]], dtype=uint16)]"
1011.jpg,[[5]],"[array([[305.   , 211.25 , 218.125, 232.5  , 558.125, 681.25 , 350.625]])]","[array([[347.4609375, 291.2109375, 373.2421875, 270.1171875, 240.234375 ,
         431.8359375, 411.328125 ]])                                     ]","[array([[275, 358, 758, 208, 408, 699, 400]], dtype=uint16)]"
1013.jpg,[[5]],"[array([[356.25 , 530.   , 655.625, 727.5  , 373.125, 345.625]])]","[array([[357.421875 , 278.90625  , 272.4609375, 301.7578125, 365.0390625,
         380.859375 ]])                                                  ]","[array([[208, 225, 416, 450, 549, 708]], dtype=uint16)]"
1018.jpg,[[5]],"[array([[288.75 , 149.375, 117.5  , 460.   , 500.625, 541.25 , 255.   ]])]","[array([[424.8046875, 311.71875  , 258.3984375, 362.6953125, 398.4375   ,
         370.3125   , 414.84375  ]])                                     ]","[array([[291, 166, 824, 283, 266, 233, 616]], dtype=uint16)]"
1046.jpg,[[5]],"[array([[513.75 , 455.625, 166.875, 138.75 , 132.5  , 288.125, 144.375,
         136.25 , 132.5  ]])                                           ]","[array([[342.1875   , 532.6171875, 387.890625 , 333.3984375, 288.28125  ,
         424.21875  , 379.6875   , 325.78125  , 251.953125 ]])           ]","[array([[433, 458, 241, 266, 158, 391, 191, 250, 283]], dtype=uint16)]"
1048.jpg,[[5]],"[array([[301.875, 286.875, 323.125, 309.375, 311.875, 313.125, 289.375]])]","[array([[432.421875 , 472.8515625, 470.5078125, 424.8046875, 300.5859375,
         245.5078125, 404.8828125]])                                     ]","[array([[308, 308, 341, 258, 358, 441, 599]], dtype=uint16)]"
1050.jpg,[[5]],"[array([[345.   , 100.625,  86.25 ,  91.25 , 374.375, 617.5  ]])]","[array([[335.7421875, 410.7421875, 359.765625 , 315.8203125, 309.9609375,
         237.890625 ]])                                                  ]","[array([[ 175,  250,  233,  366,  400, 1141]], dtype=uint16)]"
1090.jpg,[[5]],"[array([[349.375, 377.5  , 121.25 , 126.875, 135.   , 110.   , 376.25 ,
         368.125]])                                                    ]","[array([[437.6953125, 484.5703125, 350.9765625, 295.3125   , 314.0625   ,
         301.171875 , 457.03125  , 485.7421875]])                        ]","[array([[ 42, 358, 217, 316,  92, 192, 266, 866]], dtype=uint16)]"
1091.jpg,[[5]],"[array([[210.625, 194.375, 582.5  , 608.75 , 624.375, 648.125, 206.25 ,
         213.75 , 190.   ]])                                           ]","[array([[367.3828125, 384.9609375, 380.2734375, 288.28125  , 257.2265625,
         375.       , 114.2578125, 246.09375  , 319.921875 ]])           ]","[array([[266, 200, 275, 383, 300, 400, 400, 275, 350]], dtype=uint16)]"
1094.jpg,[[5]],[array([[331.875]])],[array([[389.0625]])],"[array([[3323]], dtype=uint16)]"
1095.jpg,[[5]],"[array([[398.125, 438.125, 403.75 , 302.5  ]])]","[array([[430.078125, 386.71875 , 337.5     , 273.046875]])]","[array([[ 350,  125,  250, 2149]], dtype=uint16)]"
1096.jpg,[[5]],"[array([[310.625, 461.25 , 302.5  ]])]","[array([[309.9609375, 450.       , 319.3359375]])]","[array([[ 216,  874, 2707]], dtype=uint16)]"
1098.jpg,[[5]],"[array([[465.625, 485.   , 506.875, 493.75 , 494.375, 594.375, 271.25 ]])]","[array([[263.671875 , 273.6328125, 225.       , 324.609375 , 283.59375  ,
         260.15625  , 227.9296875]])                                     ]","[array([[316, 391, 133,  58, 192, 774, 242]], dtype=uint16)]"
1099.jpg,[[5]],"[array([[388.75 , 551.25 , 500.   , 233.125, 237.5  , 137.5  , 255.625,
         136.875, 383.75 ]])                                           ]","[array([[289.453125 , 250.1953125,  87.890625 ,  66.2109375,  90.234375 ,
         428.3203125, 417.1875   , 456.4453125, 448.2421875]])           ]","[array([[  8,  17, 508, 358, 117, 416, 225, 358, 400]], dtype=uint16)]"
1103.jpg,[[5]],"[array([[341.875, 365.625, 371.25 , 377.5  , 427.5  , 340.   ]])]","[array([[475.78125  , 489.2578125, 478.7109375, 394.3359375, 356.8359375,
         376.7578125]])                                                  ]","[array([[283, 158, 450, 325, 366, 991]], dtype=uint16)]"
1104.jpg,[[5]],"[array([[595.   , 283.75 , 175.625, 153.75 , 443.75 , 440.625, 255.   ,
         412.5  ]])                                                    ]","[array([[320.5078125, 228.515625 , 181.640625 , 180.46875  , 268.9453125,
         364.453125 , 221.484375 , 222.0703125]])                        ]","[array([[341, 291, 191, 291, 233, 841, 308, 633]], dtype=uint16)]"
1107.jpg,[[5]],"[array([[270.   , 640.625]])]","[array([[340.4296875, 373.828125 ]])]","[array([[ 433, 3390]], dtype=uint16)]"
1108.jpg,[[5]],"[array([[355.625, 278.125, 292.5  , 266.875, 305.625, 301.25 , 488.125,
         496.875, 306.25 , 300.   , 361.25 , 293.75 , 298.125]])       ]","[array([[331.640625 , 458.203125 , 439.453125 , 433.59375  , 251.953125 ,
         215.625    , 201.5625   , 178.125    , 427.1484375, 459.375    ,
         353.90625  , 445.3125   , 424.8046875]])                        ]","[array([[291, 308,  83,  58, 258, 116,  75, 233, 208, 491, 175,  59,  67]],
       dtype=uint16)                                                       ]"
1111.jpg,[[5]],"[array([[383.75 , 603.125, 578.125, 572.5  , 607.5  , 576.875, 570.   ,
         581.875, 380.   , 383.125, 371.875, 435.625, 445.625]])       ]","[array([[310.546875 , 485.15625  , 346.2890625, 314.0625   , 474.0234375,
         359.765625 , 323.4375   , 291.2109375, 195.1171875, 250.78125  ,
         186.328125 , 129.4921875,  79.6875   ]])                        ]","[array([[242, 400, 250, 166, 416,  75, 108, 150,  75,  75, 266, 308, 583]],
       dtype=uint16)                                                       ]"
1112.jpg,[[5]],"[array([[386.25 , 473.75 , 496.25 , 670.625, 598.75 , 790.625, 795.   ,
         786.25 ]])                                                    ]","[array([[318.75     , 516.796875 , 539.6484375, 209.765625 , 200.390625 ,
         491.015625 , 465.8203125, 503.90625  ]])                        ]","[array([[  50,  133, 1432,  225,  283,  150,   75,  575]], dtype=uint16)]"
1113.jpg,[[5]],"[array([[481.875, 246.875, 142.5  , 337.5  , 162.5  , 555.625, 575.625,
         594.375, 446.875, 431.25 ]])                                  ]","[array([[346.875    , 546.6796875, 567.7734375, 239.6484375, 207.421875 ,
         168.75     , 145.3125   , 101.953125 , 124.8046875, 108.984375 ]])]","[array([[ 50, 133, 125, 133, 208, 125, 150, 350, 342, 316]], dtype=uint16)]"
1118.jpg,[[5]],"[array([[508.75 , 580.625, 323.125, 283.75 , 381.25 , 371.875, 368.75 ]])]","[array([[227.9296875, 199.8046875, 218.5546875, 255.46875  , 198.046875 ,
         164.6484375, 186.328125 ]])                                     ]","[array([[466, 367, 100, 192, 133, 158,  17]], dtype=uint16)]"
1119.jpg,[[5]],"[array([[306.875, 623.125, 491.25 , 401.25 , 434.375]])]","[array([[453.515625 , 366.796875 , 447.0703125, 128.90625  , 121.875    ]])]","[array([[949, 658, 666, 258, 350]], dtype=uint16)]"
1121.jpg,[[5]],"[array([[529.375, 652.5  , 371.875,  71.875,  75.   , 672.5  , 655.625,
         306.25 ]])                                                    ]","[array([[406.0546875, 432.421875 , 479.296875 , 424.8046875, 348.046875 ,
         416.6015625, 434.765625 , 465.234375 ]])                        ]","[array([[175, 300, 300, 699, 275, 208, 533, 291]], dtype=uint16)]"
1125.jpg,[[5]],"[array([[325.625, 356.875, 318.125, 588.125, 435.625, 327.5  , 108.125]])]","[array([[375.       , 302.34375  , 282.421875 , 170.5078125, 372.65625  ,
         377.9296875, 161.1328125]])                                     ]","[array([[833, 491, 191, 575, 341, 216, 308]], dtype=uint16)]"
1127.jpg,[[5]],"[array([[433.75 , 625.   , 681.875, 363.75 , 395.   , 385.   , 151.25 ]])]","[array([[142.96875  , 191.015625 , 192.1875   , 380.2734375, 397.265625 ,
         140.625    , 232.6171875]])                                     ]","[array([[566, 167, 325, 466, 341, 350, 466]], dtype=uint16)]"
1128.jpg,[[5]],"[array([[415.625, 216.875, 220.625, 258.125, 233.125, 251.875, 218.125]])]","[array([[322.8515625, 401.3671875, 336.328125 , 208.0078125, 220.3125   ,
         175.1953125, 173.4375   ]])                                     ]","[array([[550, 308, 241, 200, 233, 633, 366]], dtype=uint16)]"
1129.jpg,[[5]],"[array([[453.125, 195.   , 172.5  , 206.875, 464.375, 435.625]])]","[array([[342.7734375, 255.46875  , 222.65625  , 237.3046875, 344.53125  ,
         366.796875 ]])                                                  ]","[array([[208, 258, 666, 641, 308, 375]], dtype=uint16)]"
1132.jpg,[[5]],"[array([[513.75 , 580.625, 153.75 , 126.25 , 520.625, 638.125]])]","[array([[393.75     , 297.65625  , 413.671875 , 429.4921875, 424.21875  ,
         282.421875 ]])                                                  ]","[array([[400, 833, 266, 316, 899,  83]], dtype=uint16)]"
1139.jpg,[[5]],"[array([[431.25 , 454.375, 437.5  , 436.25 , 430.   , 447.5  , 468.125,
         431.25 ]])                                                    ]","[array([[348.6328125, 373.828125 , 219.7265625, 290.0390625, 338.671875 ,
         368.5546875, 326.3671875, 198.046875 ]])                        ]","[array([[300, 658, 350, 175, 208, 708, 108, 541]], dtype=uint16)]"
1143.jpg,[[5]],"[array([[500.   , 299.375, 521.25 , 372.5  , 388.125, 501.25 ]])]","[array([[272.4609375, 279.4921875, 418.359375 , 509.1796875, 313.4765625,
         250.78125  ]])                                                  ]","[array([[ 175,  200, 1099,  425,  250,  616]], dtype=uint16)]"
1149.jpg,[[5]],"[array([[479.375, 635.   , 259.375, 302.5  , 392.5  , 251.875, 279.375]])]","[array([[247.8515625, 377.9296875, 410.15625  , 402.5390625, 383.203125 ,
         298.2421875, 277.1484375]])                                     ]","[array([[383, 275, 166, 125, 242, 558, 192]], dtype=uint16)]"
1150.jpg,[[5]],"[array([[363.125, 525.625, 404.375, 213.125, 471.25 , 351.25 , 183.75 ,
         386.25 , 548.75 ]])                                           ]","[array([[391.9921875, 462.3046875, 159.375    , 141.2109375, 100.78125  ,
         161.1328125, 280.6640625, 430.078125 , 468.1640625]])           ]","[array([[183, 183, 458, 375, 558, 358, 333, 216, 491]], dtype=uint16)]"
1213.jpg,[[5]],"[array([[425.   , 263.75 , 400.625, 386.875]])]","[array([[376.7578125, 536.1328125, 316.9921875, 292.3828125]])]","[array([[ 341,  433,  133, 4189]], dtype=uint16)]"
1214.jpg,[[5]],"[array([[281.875, 318.125, 306.25 , 400.625]])]","[array([[377.9296875, 366.796875 , 313.4765625, 192.1875   ]])]","[array([[   8,  108, 1757, 1374]], dtype=uint16)]"
1215.jpg,[[5]],"[array([[570.625, 527.5  , 111.875, 143.125, 390.   , 396.875, 392.5  ,
         535.625, 562.5  ]])                                           ]","[array([[389.6484375, 380.859375 , 243.75     , 241.40625  , 281.8359375,
         316.40625  , 288.28125  , 369.140625 , 366.2109375]])           ]","[array([[600, 433, 158, 225, 167,  58, 191, 633, 292]], dtype=uint16)]"
1216.jpg,[[5]],"[array([[396.875, 380.625, 374.375, 395.   , 367.5  , 420.   , 454.375,
         448.125, 454.375, 436.25 , 363.125, 366.25 , 357.5  , 368.125,
         164.375]])                                                    ]","[array([[309.375    , 283.59375  , 247.265625 , 274.21875  , 246.09375  ,
         280.078125 , 358.0078125, 275.9765625, 301.7578125, 272.4609375,
         275.390625 , 303.515625 , 277.1484375, 258.3984375, 256.0546875]])]","[array([[108,  92, 100,  50, 100,  58,  91,  84, 258, 300, 108,  58, 150,
         166, 375]], dtype=uint16)                                       ]"
1217.jpg,[[5]],"[array([[398.125, 626.875, 275.   , 281.875,  84.375, 617.5  , 640.   ,
         215.625, 223.75 , 186.25 ]])                                  ]","[array([[329.8828125, 466.40625  , 489.2578125, 536.71875  , 520.3125   ,
         499.21875  , 470.5078125, 240.8203125, 297.0703125, 260.7421875]])]","[array([[ 58, 350, 292, 258, 308, 208, 341, 366, 208, 175]], dtype=uint16)]"
1218.jpg,[[5]],"[array([[343.75 , 536.875, 666.875, 532.5  ,  45.   ,  63.125, 293.125]])]","[array([[388.4765625, 391.40625  , 421.2890625, 384.9609375, 326.953125 ,
         311.71875  , 241.40625  ]])                                     ]","[array([[366, 291, 483, 383, 175, 566, 300]], dtype=uint16)]"
1219.jpg,[[5]],"[array([[365.   , 358.75 , 356.25 , 360.625, 374.375, 370.   , 483.125,
         488.125]])                                                    ]","[array([[261.9140625, 171.6796875, 214.453125 , 166.9921875, 149.4140625,
         311.71875  , 346.875    , 295.3125   ]])                        ]","[array([[458, 158,  75,  83, 358, 666, 292, 649]], dtype=uint16)]"
1220.jpg,[[5]],"[array([[389.375, 587.5  , 703.125, 223.75 , 496.875, 567.5  , 566.875]])]","[array([[271.2890625, 263.0859375, 308.203125 , 395.5078125, 271.2890625,
         230.859375 , 256.0546875]])                                     ]","[array([[258, 358, 291, 641, 325, 741,  50]], dtype=uint16)]"
1221.jpg,[[5]],"[array([[520.625, 521.875, 544.375, 484.375, 530.   , 563.125, 616.875,
         553.75 ]])                                                    ]","[array([[478.125    , 440.625    , 403.125    , 406.0546875, 401.3671875,
         459.375    ,  65.625    , 103.125    ]])                        ]","[array([[100, 183, 175, 308, 341, 608, 458, 658]], dtype=uint16)]"
1223.jpg,[[5]],"[array([[177.5  , 573.75 , 448.75 , 396.25 , 205.625, 386.875]])]","[array([[328.7109375, 447.0703125, 215.625    , 189.84375  , 339.84375  ,
         384.9609375]])                                                  ]","[array([[ 125,  583,  292,  400,  242, 1241]], dtype=uint16)]"
1228.jpg,[[5]],"[array([[524.375, 233.125, 244.375, 248.75 , 230.   , 541.875, 324.375]])]","[array([[360.3515625, 479.8828125, 414.2578125, 389.0625   , 517.3828125,
         358.59375  , 287.6953125]])                                     ]","[array([[133, 366, 458, 708, 400, 525, 292]], dtype=uint16)]"
1229.jpg,[[5]],"[array([[286.875, 265.   , 243.75 , 331.25 , 310.   , 181.875]])]","[array([[317.578125 , 418.9453125, 450.       , 459.375    , 448.2421875,
         264.2578125]])                                                  ]","[array([[ 242,  408,  441, 1041,  342,  325]], dtype=uint16)]"
1231.jpg,[[5]],"[array([[329.375, 198.75 , 129.375, 403.125, 500.   ]])]","[array([[311.1328125, 366.2109375, 356.25     , 183.984375 , 200.9765625]])]","[array([[ 175,  258,  416,  525, 1316]], dtype=uint16)]"
1234.jpg,[[5]],"[array([[376.25 , 479.375, 475.625, 191.25 , 478.125, 459.375, 475.625]])]","[array([[371.484375 , 253.7109375, 222.65625  , 382.6171875, 263.0859375,
         151.7578125, 233.203125 ]])                                     ]","[array([[242, 316, 316, 583, 425, 816, 450]], dtype=uint16)]"
1236.jpg,[[5]],"[array([[286.875, 420.625, 401.25 , 286.25 , 293.125, 303.125]])]","[array([[420.703125 , 100.1953125, 157.6171875, 508.0078125, 423.6328125,
         493.359375 ]])                                                  ]","[array([[ 566,  791,  233,  175,  117, 1241]], dtype=uint16)]"
1237.jpg,[[5]],"[array([[586.875, 611.875, 581.875, 220.625, 216.25 , 241.875, 591.25 ,
         583.125]])                                                    ]","[array([[424.8046875, 396.09375  , 397.8515625, 209.1796875, 178.125    ,
         109.5703125, 439.453125 , 394.3359375]])                        ]","[array([[233, 200, 691, 225, 191, 866, 100, 366]], dtype=uint16)]"
1239.jpg,[[5]],"[array([[387.5  , 376.875, 291.875, 428.75 , 383.75 , 671.875, 690.625,
         318.75 , 165.625]])                                           ]","[array([[309.375    , 302.34375  , 280.6640625, 318.1640625, 291.2109375,
         431.8359375, 491.015625 , 387.890625 , 389.0625   ]])           ]","[array([[433, 225, 508, 366, 341, 233, 308, 242, 191]], dtype=uint16)]"
1240.jpg,[[5]],"[array([[586.25 , 298.75 , 388.125, 534.375, 380.625]])]","[array([[427.734375 , 230.2734375, 185.7421875, 362.6953125, 317.578125 ]])]","[array([[ 558,  633,  233,  350, 1141]], dtype=uint16)]"
1244.jpg,[[5]],"[array([[502.5  , 556.25 , 616.25 , 541.25 , 141.25 , 313.75 ,  93.125,
         500.625, 485.   , 526.875]])                                  ]","[array([[373.828125 , 322.8515625, 437.109375 , 416.6015625, 324.0234375,
         142.96875  , 117.7734375, 170.5078125, 128.3203125, 229.6875   ]])]","[array([[208, 575, 283, 250, 358, 283, 325,  58, 200, 316]], dtype=uint16)]"
1246.jpg,[[5]],"[array([[230.625, 378.75 , 348.125, 418.125, 448.125, 616.25 , 158.125,
         476.875, 421.875]])                                           ]","[array([[288.28125  , 324.0234375, 332.8125   , 226.7578125, 343.359375 ,
         337.5      , 279.4921875, 485.7421875, 316.9921875]])           ]","[array([[242, 266, 300, 341, 216, 441, 375, 225, 250]], dtype=uint16)]"
1249.jpg,[[5]],"[array([[154.375, 140.   , 361.875, 161.25 , 128.75 , 157.5  , 265.   ]])]","[array([[303.515625 , 206.8359375, 312.3046875, 241.9921875, 175.1953125,
         151.171875 , 195.1171875]])                                     ]","[array([[591, 258, 400, 475, 342, 308, 216]], dtype=uint16)]"
1256.jpg,[[5]],"[array([[393.125, 665.625, 665.   , 359.375, 375.   , 166.25 , 270.   ,
         482.5  , 340.625, 402.5  , 387.5  ]])                         ]","[array([[284.765625 , 309.9609375, 357.421875 , 307.03125  , 237.890625 ,
         150.       , 201.5625   , 199.8046875, 233.7890625, 412.5      ,
         527.34375  ]])                                                  ]","[array([[166, 325, 208, 275, 233, 342, 192, 316, 233, 166, 191]],
       dtype=uint16)                                             ]"
1259.jpg,[[5]],"[array([[438.75 , 465.   , 196.25 , 218.75 , 262.5  , 471.875, 458.125]])]","[array([[391.9921875, 449.4140625, 251.953125 , 328.7109375, 347.4609375,
         427.734375 , 438.8671875]])                                     ]","[array([[150, 550, 658, 233, 167, 450, 691]], dtype=uint16)]"
1260.jpg,[[5]],"[array([[310.625, 305.625, 501.875, 178.125, 672.5  , 303.75 , 427.5  ]])]","[array([[367.96875 , 398.4375  , 408.984375, 428.90625 , 432.421875,
         137.109375, 285.9375  ]])                                  ]","[array([[183,  91, 391, 316, 599, 491, 183]], dtype=uint16)]"
1261.jpg,[[5]],"[array([[421.875, 488.125, 435.625]])]","[array([[412.5      , 375.5859375, 410.15625  ]])]","[array([[ 208,  575, 2373]], dtype=uint16)]"
1265.jpg,[[5]],"[array([[461.25 , 453.75 , 545.625, 493.75 , 453.75 , 585.625, 385.625,
         217.5  , 247.5  ]])                                           ]","[array([[493.359375 , 525.5859375, 521.484375 , 498.6328125, 461.1328125,
         454.1015625, 371.484375 , 125.9765625,  80.2734375]])           ]","[array([[433, 333, 441, 208, 225, 242, 217, 217, 258]], dtype=uint16)]"
1267.jpg,[[5]],"[array([[212.5  ,  70.   ,  46.25 ,  55.625, 232.5  , 425.   , 331.875,
         116.875, 119.375]])                                           ]","[array([[367.3828125, 434.765625 , 434.765625 , 336.328125 , 338.671875 ,
         303.515625 , 191.015625 , 125.390625 ,  73.2421875]])           ]","[array([[183, 308, 291, 316, 192, 391, 275, 308, 266]], dtype=uint16)]"
1321.jpg,[[5]],"[array([[410.625, 386.875, 419.375, 551.25 , 468.125, 521.875, 145.   ,
         102.5  , 360.625, 320.   ]])                                  ]","[array([[318.1640625, 488.0859375, 541.9921875, 400.1953125, 295.3125   ,
         251.3671875, 314.0625   , 322.8515625, 449.4140625, 381.4453125]])]","[array([[266, 191, 308, 250, 683, 167, 275, 300, 383, 100]], dtype=uint16)]"
1323.jpg,[[5]],"[array([[126.875, 382.5  , 633.125, 603.125, 355.625, 370.625]])]","[array([[201.5625   , 350.9765625, 327.5390625, 317.578125 , 342.7734375,
         359.1796875]])                                                  ]","[array([[ 266,  308,  450,   50,  483, 1307]], dtype=uint16)]"
1327.jpg,[[5]],"[array([[387.5  , 501.875, 550.   , 502.5  , 498.125, 256.875, 318.125,
         411.875, 443.75 , 500.   ]])                                  ]","[array([[311.1328125, 441.2109375, 287.6953125, 425.390625 , 454.6875   ,
         346.875    , 370.3125   , 150.       , 128.3203125, 444.140625 ]])]","[array([[  8, 375,  83, 117, 108, 433, 583, 308, 183, 608]], dtype=uint16)]"
1329.jpg,[[5]],"[array([[394.375, 430.   , 136.25 , 598.75 , 630.625, 664.375, 628.75 ,
         224.375, 165.625, 140.625]])                                  ]","[array([[349.8046875, 374.4140625, 435.3515625, 459.375    , 466.40625  ,
         515.0390625, 362.6953125, 365.0390625, 301.171875 , 457.03125  ]])]","[array([[100, 133, 608, 141, 250, 425, 458, 225, 250, 624]], dtype=uint16)]"
1331.jpg,[[5]],"[array([[487.5  , 499.375, 386.875, 387.5  , 384.375, 501.875, 519.375,
         523.75 , 488.75 ]])                                           ]","[array([[275.9765625, 254.296875 , 354.4921875, 382.6171875, 356.8359375,
         241.40625  , 142.3828125, 116.015625 , 157.03125  ]])           ]","[array([[167, 358,  67,  75, 433, 491, 758,  33, 258]], dtype=uint16)]"
