image,subject_id,fix_x,fix_y,durations
1333.jpg,[[5]],"[array([[391.875, 355.625, 513.125, 519.375, 373.125, 492.5  , 321.25 ,
         346.25 ]])                                                    ]","[array([[275.9765625, 271.875    , 284.1796875, 183.3984375, 251.3671875,
         280.6640625, 295.3125   , 246.6796875]])                        ]","[array([[175, 291, 350, 266, 625,  92, 141, 466]], dtype=uint16)]"
1334.jpg,[[5]],"[array([[378.75 , 548.125, 341.875, 231.875, 251.875, 451.875, 474.375]])]","[array([[258.3984375, 252.5390625, 150.       , 170.5078125, 180.46875  ,
         391.40625  , 317.578125 ]])                                     ]","[array([[591, 458, 108, 200, 408, 475, 591]], dtype=uint16)]"
1335.jpg,[[5]],"[array([[472.5  , 250.625, 274.375, 283.125, 281.875, 495.   ]])]","[array([[351.5625   , 423.046875 , 414.2578125, 168.75     , 135.3515625,
         120.703125 ]])                                                  ]","[array([[508, 191, 208, 391, 816, 808]], dtype=uint16)]"
1336.jpg,[[5]],"[array([[507.5  , 509.375,  58.75 ,  88.75 ,  56.875, 105.625,  82.5  ,
         405.625, 401.25 , 400.625, 401.875]])                         ]","[array([[375.       , 406.0546875, 433.59375  , 430.6640625, 270.703125 ,
         193.9453125, 258.3984375, 250.78125  , 352.734375 , 384.9609375,
         347.4609375]])                                                  ]","[array([[ 316,  225,   92,  358,  316,  316,  400,  166,   67,   67, 1541]],
       dtype=uint16)                                                        ]"
1339.jpg,[[5]],"[array([[449.375, 242.5  , 210.625, 235.625, 431.875, 416.875, 332.5  ]])]","[array([[360.3515625, 359.1796875, 214.453125 , 154.6875   , 406.0546875,
         365.625    , 362.6953125]])                                     ]","[array([[375, 216, 158, 633,  92,  75,  75]], dtype=uint16)]"
1341.jpg,[[5]],"[array([[455.   , 468.75 , 348.125, 231.875, 173.75 , 509.375, 477.5  ,
         467.5  ]])                                                    ]","[array([[367.96875  , 413.0859375, 438.28125  , 400.1953125, 526.171875 ,
         528.515625 , 505.6640625, 478.7109375]])                        ]","[array([[166, 525, 333, 350, 358, 308, 425,  50]], dtype=uint16)]"
1342.jpg,[[5]],"[array([[386.25, 366.25, 570.  , 588.75, 621.25, 650.  ]])]","[array([[237.3046875, 127.734375 , 335.7421875, 382.6171875, 450.       ,
         526.7578125]])                                                  ]","[array([[250, 358, 200, 167, 841, 833]], dtype=uint16)]"
1343.jpg,[[5]],"[array([[445.   , 656.875, 625.625, 632.5  , 271.25 , 643.75 , 620.   ,
         633.125]])                                                    ]","[array([[430.078125 , 324.0234375, 333.3984375, 355.078125 , 365.0390625,
         333.3984375, 319.921875 , 291.796875 ]])                        ]","[array([[125, 183,  92,  75, 824,  83, 366, 125]], dtype=uint16)]"
1344.jpg,[[5]],"[array([[198.75 , 276.875, 579.375, 237.5  ,  98.75 , 172.5  ]])]","[array([[358.59375  , 296.484375 , 205.6640625, 161.71875  , 282.421875 ,
         301.7578125]])                                                  ]","[array([[333, 150, 824, 708, 283, 208]], dtype=uint16)]"
1345.jpg,[[5]],"[array([[516.875, 548.125, 260.   , 147.5  , 139.375, 200.625, 228.75 ,
         545.625]])                                                    ]","[array([[230.859375 , 221.484375 , 160.546875 , 200.9765625, 468.1640625,
         396.09375  , 354.4921875, 225.5859375]])                        ]","[array([[175, 341, 316, 233, 833, 208, 166, 550]], dtype=uint16)]"
1347.jpg,[[5]],"[array([[413.125, 216.25 , 224.375, 509.375, 501.875, 515.625, 236.25 ,
         521.25 ]])                                                    ]","[array([[281.25     , 151.7578125, 131.25     , 415.4296875, 389.6484375,
         366.2109375, 171.6796875, 391.40625  ]])                        ]","[array([[242,  58, 200,  75, 341, 166, 666, 441]], dtype=uint16)]"
1349.jpg,[[5]],"[array([[308.75 , 224.375, 152.5  , 305.   , 283.125, 322.5  , 351.25 ]])]","[array([[278.3203125, 267.1875   , 234.9609375, 271.2890625, 256.0546875,
         251.953125 , 268.9453125]])                                     ]","[array([[233, 283, 466, 225, 666, 533, 383]], dtype=uint16)]"
1351.jpg,[[5]],"[array([[194.375, 338.75 , 358.125, 292.5  , 239.375, 466.25 , 468.125,
         225.625]])                                                    ]","[array([[401.3671875, 255.46875  , 237.3046875, 230.2734375, 235.546875 ,
         181.0546875, 250.78125  , 442.3828125]])                        ]","[array([[391, 217, 300, 300, 491, 608, 183, 291]], dtype=uint16)]"
1352.jpg,[[5]],"[array([[417.5  , 426.25 , 435.   , 451.875, 218.75 , 235.   , 255.   ,
         233.75 , 416.875]])                                           ]","[array([[359.765625 , 379.1015625, 168.75     , 142.3828125, 137.6953125,
         106.640625 ,  93.75     , 107.2265625, 352.1484375]])           ]","[array([[400, 300, 941,  50, 141, 133,  50,  50, 708]], dtype=uint16)]"
1355.jpg,[[5]],"[array([[473.125, 568.125, 144.375, 141.875, 126.25 , 358.125, 517.5  ,
         712.5  , 566.25 , 584.375]])                                  ]","[array([[389.0625   , 442.3828125, 440.625    , 365.0390625, 328.7109375,
         261.328125 , 204.4921875, 185.15625  , 407.8125   , 429.4921875]])]","[array([[175, 225, 291, 142, 516, 283, 250, 475, 275, 358]], dtype=uint16)]"
1356.jpg,[[5]],"[array([[511.25 , 425.   , 428.75 , 403.75 , 410.   , 408.125]])]","[array([[417.1875   , 319.921875 , 343.359375 , 302.9296875, 258.3984375,
         314.6484375]])                                                  ]","[array([[ 400,   75,   67,  500, 1074,  441]], dtype=uint16)]"
1360.jpg,[[5]],"[array([[240.625, 415.   , 427.5  , 509.375, 375.   ]])]","[array([[463.4765625, 283.0078125, 235.546875 , 230.859375 , 255.46875  ]])]","[array([[541, 516, 400, 675, 291]], dtype=uint16)]"
1361.jpg,[[5]],"[array([[241.25 ,  96.875,  63.125, 224.375, 543.125, 730.   , 767.5  ,
          99.375]])                                                    ]","[array([[414.2578125, 380.859375 , 336.9140625, 479.8828125, 273.046875 ,
         118.359375 , 103.125    , 314.6484375]])                        ]","[array([[175, 208, 350, 566, 225, 733, 341, 266]], dtype=uint16)]"
1362.jpg,[[5]],"[array([[367.5  , 652.5  , 681.875, 338.125]])]","[array([[267.7734375, 150.5859375, 134.765625 , 230.2734375]])]","[array([[ 400,  191,  741, 1016]], dtype=uint16)]"
1429.jpg,[[5]],"[array([[210.625, 299.375, 311.25 , 678.75 , 376.875, 390.   , 154.375,
         205.   , 282.5  ]])                                           ]","[array([[391.9921875, 344.53125  , 301.7578125, 435.3515625, 536.1328125,
         566.6015625, 448.828125 , 417.7734375, 348.046875 ]])           ]","[array([[166, 283, 183, 516, 258, 241, 158, 433, 291]], dtype=uint16)]"
1431.jpg,[[5]],"[array([[408.75 , 407.5  , 406.25 , 678.75 , 654.375, 684.375, 396.875,
         156.875, 255.   , 366.875, 402.5  ]])                         ]","[array([[380.2734375, 337.5      , 308.203125 , 325.78125  , 364.453125 ,
         367.3828125, 412.5      , 440.625    ,  76.171875 ,  52.734375 ,
          63.28125  ]])                                                  ]","[array([[283, 400, 358, 225, 191, 250, 258, 316, 191, 208, 250]],
       dtype=uint16)                                             ]"
1432.jpg,[[5]],"[array([[368.125, 330.625, 453.75 , 676.875, 470.   , 360.   , 334.375,
         343.125, 352.5  ]])                                           ]","[array([[366.2109375, 430.6640625, 322.8515625, 212.6953125, 312.890625 ,
         379.1015625, 378.515625 , 402.5390625, 376.171875 ]])           ]","[array([[  8, 100, 408, 458, 383, 475, 408, 108, 675]], dtype=uint16)]"
1435.jpg,[[5]],"[array([[206.25 , 299.375, 608.75 , 665.   , 540.   , 499.375, 208.125]])]","[array([[436.5234375, 560.15625  , 511.5234375, 501.5625   , 393.1640625,
         376.7578125, 426.5625   ]])                                     ]","[array([[491, 708, 425, 316, 250, 208, 408]], dtype=uint16)]"
1436.jpg,[[5]],"[array([[389.375, 539.375, 530.625, 347.5  , 399.375, 389.375]])]","[array([[326.3671875, 363.8671875, 329.296875 , 295.3125   , 285.9375   ,
         214.453125 ]])                                                  ]","[array([[ 116,   92,  216, 2265,   75,   58]], dtype=uint16)]"
1440.jpg,[[5]],"[array([[381.875, 315.625, 375.625, 166.875, 365.625, 386.25 , 374.375,
         351.25 , 368.75 ]])                                           ]","[array([[290.625    , 312.3046875, 389.0625   , 244.921875 , 243.75     ,
         255.46875  , 356.8359375, 433.0078125, 380.2734375]])           ]","[array([[125, 175, 292, 583, 341, 408,  58,   8, 499]], dtype=uint16)]"
1442.jpg,[[5]],"[array([[546.25 , 413.75 , 430.625, 557.5  , 645.   , 546.875, 566.875,
         552.5  , 527.5  ]])                                           ]","[array([[376.171875 , 292.3828125, 263.671875 , 351.5625   , 212.109375 ,
         314.6484375, 435.3515625, 367.96875  , 369.140625 ]])           ]","[array([[425, 325, 333, 408,  67, 142, 100, 491, 574]], dtype=uint16)]"
1444.jpg,[[5]],"[array([[411.25 , 221.875, 416.25 , 516.25 , 520.   , 436.25 , 412.5  ,
         405.   ]])                                                    ]","[array([[438.8671875, 483.3984375, 447.0703125, 181.0546875, 222.0703125,
         394.3359375, 430.078125 , 404.8828125]])                        ]","[array([[158, 525, 283, 208, 350, 150, 400, 924]], dtype=uint16)]"
1447.jpg,[[5]],"[array([[525.   , 563.125, 561.875, 426.25 , 570.   , 536.875, 558.75 ,
         555.   ]])                                                    ]","[array([[449.4140625, 454.6875   , 426.5625   , 491.6015625, 527.9296875,
         495.703125 , 423.046875 , 549.0234375]])                        ]","[array([[200, 158, 125, 283, 391, 341, 958, 275]], dtype=uint16)]"
1448.jpg,[[5]],"[array([[443.75 , 479.375, 490.625, 433.125]])]","[array([[295.8984375, 309.9609375, 359.1796875, 162.890625 ]])]","[array([[ 275,   33,  242, 2032]], dtype=uint16)]"
1450.jpg,[[5]],"[array([[371.875, 404.375, 228.125, 223.75 , 236.25 , 379.375, 376.875,
         393.125, 405.   ]])                                           ]","[array([[351.5625   , 428.90625  , 373.2421875, 324.609375 , 294.7265625,
         286.5234375, 220.3125   , 401.3671875, 435.3515625]])           ]","[array([[333, 475, 308, 250, 283, 283, 483, 275, 300]], dtype=uint16)]"
1455.jpg,[[5]],"[array([[244.375, 438.75 , 473.75 , 431.25 , 311.875, 100.625]])]","[array([[366.796875 , 141.2109375, 117.7734375, 128.3203125, 117.7734375,
         259.5703125]])                                                  ]","[array([[233, 433, 999, 491, 216, 250]], dtype=uint16)]"
1456.jpg,[[5]],"[array([[453.75 , 504.375, 400.   , 593.75 , 324.375, 286.25 ]])]","[array([[312.3046875, 292.96875  , 321.09375  , 189.84375  , 216.2109375,
         370.8984375]])                                                  ]","[array([[225, 500, 333, 824, 250, 358]], dtype=uint16)]"
1459.jpg,[[5]],"[array([[223.125, 208.125, 497.5  , 532.5  , 224.375, 202.5  , 205.625,
         472.5  , 512.5  , 527.5  ]])                                  ]","[array([[505.6640625, 534.375    , 373.828125 , 344.53125  , 324.609375 ,
         468.1640625, 543.1640625, 445.3125   , 387.3046875, 356.25     ]])]","[array([[ 42, 241, 250, 333, 441,  67, 408, 167, 175, 258]], dtype=uint16)]"
1460.jpg,[[5]],"[array([[383.75 , 392.5  , 406.875, 401.875, 255.625, 403.125, 263.125,
         249.375, 399.375, 403.125, 402.5  ]])                         ]","[array([[394.921875 , 473.4375   , 511.5234375, 490.4296875, 342.7734375,
         321.6796875, 220.8984375, 317.578125 , 365.625    , 338.0859375,
         490.4296875]])                                                  ]","[array([[208, 200, 167,  50, 366, 266, 308, 216, 433, 241, 458]],
       dtype=uint16)                                             ]"
1461.jpg,[[5]],"[array([[198.75 , 718.125, 664.375, 517.5  , 200.   , 171.875, 128.75 ,
         244.375, 200.   , 188.125]])                                  ]","[array([[399.0234375, 305.859375 , 284.1796875, 192.7734375, 343.359375 ,
         399.609375 , 460.546875 , 461.71875  , 399.609375 , 357.421875 ]])]","[array([[383, 408, 508, 233, 175, 242, 275, 200, 258, 216]], dtype=uint16)]"
1462.jpg,[[5]],"[array([[444.375, 618.125, 439.375, 131.875, 101.875, 391.875, 433.125]])]","[array([[316.9921875, 228.515625 , 249.0234375, 385.546875 , 394.921875 ,
         286.5234375, 253.125    ]])                                     ]","[array([[200, 791, 575, 308, 541, 225, 525]], dtype=uint16)]"
1470.jpg,[[5]],"[array([[305.625, 304.375, 313.75 , 323.75 , 651.875, 397.5  , 453.125,
         713.75 , 588.125]])                                           ]","[array([[382.03125  , 323.4375   , 291.2109375, 262.5      , 392.578125 ,
         440.625    , 452.9296875, 403.7109375, 546.09375  ]])           ]","[array([[258, 225, 216, 158, 308, 558, 158, 533, 533]], dtype=uint16)]"
1471.jpg,[[5]],"[array([[580.625, 341.875, 471.25 , 548.75 , 371.875]])]","[array([[225.       , 315.234375 , 264.84375  , 233.7890625, 281.25     ]])]","[array([[441, 333, 625, 267, 666]], dtype=uint16)]"
1474.jpg,[[5]],"[array([[580.625, 608.125, 235.625,  73.125,  48.75 ,  91.875, 388.125]])]","[array([[358.0078125, 408.984375 , 308.7890625, 283.59375  , 267.1875   ,
         264.84375  , 309.9609375]])                                     ]","[array([[ 175,  608,  225,  208,  525,  358, 1849]], dtype=uint16)]"
1475.jpg,[[5]],"[array([[311.875, 393.75 , 490.625, 673.125, 367.5  , 330.   , 357.5  ,
         310.   ]])                                                    ]","[array([[397.8515625, 372.65625  , 348.6328125, 447.65625  , 413.0859375,
         391.40625  , 298.2421875, 349.8046875]])                        ]","[array([[250, 550, 225, 450, 341, 416, 216, 408]], dtype=uint16)]"
1527.jpg,[[5]],"[array([[368.75 , 283.75 , 297.5  , 285.625, 336.25 , 291.875, 385.625,
         398.125, 280.   , 309.375]])                                  ]","[array([[325.1953125, 420.1171875, 406.0546875, 222.65625  , 412.5      ,
         404.8828125, 188.671875 , 161.71875  , 225.       , 330.46875  ]])]","[array([[  8,   8, 300, 366, 350,  92, 491, 350, 483, 233]], dtype=uint16)]"
1537.jpg,[[5]],"[array([[318.125, 506.875, 538.75 , 204.375, 343.125, 335.625, 337.5  ,
         335.625]])                                                    ]","[array([[421.875    , 508.59375  , 581.8359375, 478.125    , 438.28125  ,
         414.2578125, 390.234375 , 425.9765625]])                        ]","[array([[ 133,  200,  416,  316,  208,  400,  283, 1041]], dtype=uint16)]"
1539.jpg,[[5]],"[array([[333.125, 650.   , 673.125, 666.25 , 343.75 , 503.75 , 591.875,
         621.25 , 186.875]])                                           ]","[array([[341.015625 , 441.2109375, 414.84375  , 379.1015625, 343.359375 ,
         161.1328125, 147.0703125, 141.796875 , 475.78125  ]])           ]","[array([[441, 333, 216, 216, 483, 250, 166, 433, 391]], dtype=uint16)]"
1551.jpg,[[5]],"[array([[361.25 , 366.875, 656.25 , 618.75 , 287.5  , 201.875, 185.   ]])]","[array([[268.9453125, 248.4375   , 193.359375 , 189.2578125, 372.0703125,
         410.7421875, 401.3671875]])                                     ]","[array([[100, 241, 217, 441, 167, 217, 166]], dtype=uint16)]"
1553.jpg,[[5]],"[array([[401.875, 423.125, 383.75 , 384.375, 386.25 ]])]","[array([[261.328125 , 283.59375  , 269.53125  , 267.7734375, 264.2578125]])]","[array([[1432,   16,  116,   67,    8]], dtype=uint16)]"
1557.jpg,[[5]],"[array([[378.75 , 251.25 , 242.5  , 232.5  , 535.   , 502.5  , 516.875,
         298.75 , 261.875]])                                           ]","[array([[299.4140625, 283.59375  , 266.6015625, 236.1328125, 205.078125 ,
         411.328125 , 530.859375 , 361.5234375, 300.5859375]])           ]","[array([[241, 142, 133, 108, 550, 541, 433, 242, 333]], dtype=uint16)]"
1558.jpg,[[5]],"[array([[266.25 , 575.   , 335.625, 380.625, 231.875, 242.5  ]])]","[array([[421.2890625, 418.9453125, 273.046875 , 222.65625  , 420.703125 ,
         199.21875  ]])                                                  ]","[array([[ 67,  67, 308, 441, 641, 367]], dtype=uint16)]"
1559.jpg,[[5]],"[array([[415.625, 356.25 , 475.625, 500.625, 617.5  , 635.625, 634.375,
         618.125, 560.   , 559.375]])                                  ]","[array([[289.453125 , 260.15625  , 352.1484375, 367.96875  , 296.484375 ,
         168.75     , 113.0859375, 353.3203125, 383.7890625, 360.9375   ]])]","[array([[233, 341, 383, 233,  25,  91, 100, 275,  83, 383]], dtype=uint16)]"
1563.jpg,[[5]],"[array([[270.   , 487.5  , 251.875, 249.375, 249.375, 296.25 , 490.   ]])]","[array([[399.609375 , 397.8515625, 229.6875   , 423.6328125, 390.234375 ,
         340.4296875, 397.265625 ]])                                     ]","[array([[175, 308, 533,  50, 899, 150, 683]], dtype=uint16)]"
1564.jpg,[[5]],[array([[218.75]])],[array([[307.6171875]])],"[array([[3115]], dtype=uint16)]"
1565.jpg,[[5]],"[array([[518.125, 371.25 , 370.625]])]","[array([[444.7265625, 341.015625 , 243.1640625]])]","[array([[ 608,  608, 4664]], dtype=uint16)]"
1567.jpg,[[5]],"[array([[463.75 , 480.   , 453.125, 320.   , 476.875, 208.125, 203.75 ]])]","[array([[395.5078125, 449.4140625, 404.296875 , 192.7734375,  75.5859375,
         462.3046875, 517.3828125]])                                     ]","[array([[ 416,  283,  283, 1141,  383,  208,  208]], dtype=uint16)]"
1571.jpg,[[5]],"[array([[318.125, 433.75 , 447.5  , 714.375, 677.5  , 566.875, 430.625,
         446.875, 718.125, 701.25 , 719.375]])                         ]","[array([[307.03125  , 395.5078125, 325.1953125, 604.1015625, 563.0859375,
         461.1328125, 336.328125 , 436.5234375, 576.5625   , 547.8515625,
         159.375    ]])                                                  ]","[array([[600, 275, 150, 116, 541, 325, 216, 150, 100, 133, 192]],
       dtype=uint16)                                             ]"
1573.jpg,[[5]],"[array([[233.125, 488.75 , 215.625, 156.25 , 179.375, 148.75 ]])]","[array([[384.375    , 448.2421875, 385.546875 , 256.640625 , 229.6875   ,
         247.265625 ]])                                                  ]","[array([[ 258, 1149,   83,  233,  500,  266]], dtype=uint16)]"
1574.jpg,[[5]],"[array([[432.5  , 445.   , 238.75 , 351.25 , 426.25 , 639.375, 635.   ,
         445.625]])                                                    ]","[array([[406.0546875, 427.734375 , 485.15625  , 200.9765625, 186.328125 ,
         274.21875  , 253.125    , 397.8515625]])                        ]","[array([[183, 316, 416, 391, 550,  58, 500, 633]], dtype=uint16)]"
1580.jpg,[[5]],"[array([[452.5  , 447.5  , 140.   , 196.25 , 443.125, 608.125, 583.125,
         614.375]])                                                    ]","[array([[352.734375 , 366.2109375, 442.3828125, 391.40625  , 368.5546875,
         209.765625 , 179.296875 , 124.21875  ]])                        ]","[array([[733, 250, 325, 366, 242, 258, 208, 283]], dtype=uint16)]"
1581.jpg,[[5]],"[array([[353.75 , 337.5  , 367.5  , 394.375, 346.875, 390.   , 346.875]])]","[array([[233.7890625, 158.203125 , 164.0625   , 184.5703125, 258.3984375,
         274.21875  , 251.953125 ]])                                     ]","[array([[383, 341, 283, 175, 641, 200, 766]], dtype=uint16)]"
1587.jpg,[[5]],"[array([[400.   , 115.   , 119.375, 115.625, 149.375, 145.   , 138.75 ,
          76.875, 155.   , 244.375, 421.875]])                         ]","[array([[506.8359375, 288.28125  , 266.6015625, 291.796875 , 318.1640625,
         291.2109375, 271.2890625, 271.2890625, 269.53125  , 153.515625 ,
         210.3515625]])                                                  ]","[array([[200, 100,  58, 108, 192,  83, 208, 325, 491, 375, 400]],
       dtype=uint16)                                             ]"
1590.jpg,[[5]],"[array([[363.75 , 597.5  , 561.25 , 258.125, 232.5  , 228.125, 236.875,
         263.125]])                                                    ]","[array([[264.2578125, 409.5703125, 385.546875 , 502.734375 , 464.0625   ,
         515.0390625, 602.34375  , 601.7578125]])                        ]","[array([[325, 366, 192, 291, 458, 583, 233, 158]], dtype=uint16)]"
1596.jpg,[[5]],"[array([[429.375, 151.25 , 412.5  , 433.125, 453.125, 488.75 , 431.25 ]])]","[array([[372.65625  , 341.6015625, 243.1640625, 365.625    , 423.046875 ,
         520.8984375, 270.703125 ]])                                     ]","[array([[258, 167, 916, 200, 125, 716, 183]], dtype=uint16)]"
1598.jpg,[[5]],"[array([[329.375, 358.125, 115.625,  57.5  , 426.875, 366.875, 325.   ]])]","[array([[416.6015625, 334.5703125, 305.859375 , 292.96875  , 261.9140625,
         381.4453125, 426.5625   ]])                                     ]","[array([[583, 408, 308, 433, 383, 183, 416]], dtype=uint16)]"
1600.jpg,[[5]],[array([[371.875]])],[array([[291.2109375]])],"[array([[2548]], dtype=uint16)]"
1603.jpg,[[5]],"[array([[512.5  , 719.375, 735.625, 718.125, 408.75 , 275.625, 444.375,
         508.125, 285.625, 411.875]])                                  ]","[array([[243.1640625, 236.71875  , 256.0546875, 240.8203125, 237.3046875,
         268.359375 , 345.1171875, 257.8125   , 268.9453125, 353.90625  ]])]","[array([[258,  92,  50, 141, 208, 325, 516, 558, 500, 266]], dtype=uint16)]"
1606.jpg,[[5]],"[array([[465.   , 339.375, 331.875, 423.125, 332.5  , 485.625, 486.25 ,
         420.   , 536.25 ]])                                           ]","[array([[326.953125 , 485.7421875, 552.5390625, 554.8828125, 498.6328125,
         342.7734375, 108.3984375,  94.921875 ,  96.09375  ]])           ]","[array([[233, 216, 383, 250, 450, 225, 575, 333, 500]], dtype=uint16)]"
1610.jpg,[[5]],"[array([[246.875, 260.   , 325.625, 548.75 , 521.25 , 736.875, 386.25 ,
         234.375]])                                                    ]","[array([[393.75     , 368.5546875, 209.1796875, 210.3515625, 152.34375  ,
         142.96875  , 167.578125 , 367.3828125]])                        ]","[array([[275, 383, 266, 416, 308, 541, 350, 233]], dtype=uint16)]"
1615.jpg,[[5]],"[array([[501.875, 514.375, 512.5  , 335.   , 527.5  , 523.125, 498.75 ,
         508.125, 508.125]])                                           ]","[array([[397.265625 , 237.890625 , 203.90625  , 479.8828125, 449.4140625,
         421.2890625, 386.1328125, 361.5234375, 412.5      ]])           ]","[array([[291, 191, 266, 225, 200, 783, 191, 208, 441]], dtype=uint16)]"
1619.jpg,[[5]],"[array([[326.875, 196.25 , 577.5  , 558.125, 590.   , 589.375, 512.5  ,
         456.25 , 551.875]])                                           ]","[array([[389.0625   , 372.65625  , 497.4609375, 364.453125 , 367.3828125,
         308.203125 , 164.6484375, 126.5625   , 136.5234375]])           ]","[array([[258, 350, 441, 167, 375, 158, 275, 516, 316]], dtype=uint16)]"
1620.jpg,[[5]],"[array([[249.375, 396.875, 340.   , 495.625, 400.625, 398.125]])]","[array([[410.7421875, 329.8828125,  86.1328125, 130.078125 , 311.71875  ,
         356.8359375]])                                                  ]","[array([[341, 375, 300, 575, 558, 400]], dtype=uint16)]"
1648.jpg,[[5]],"[array([[413.75 , 435.625, 133.75 , 143.125, 432.5  , 653.125, 650.625,
         376.25 , 330.625, 389.375]])                                  ]","[array([[420.1171875, 473.4375   , 475.1953125, 360.3515625, 390.234375 ,
         399.0234375, 372.0703125, 234.9609375, 250.1953125, 263.0859375]])]","[array([[100, 100, 358, 441, 233, 283, 217, 366, 283, 591]], dtype=uint16)]"
